Lab_ID,BANDNUMB,Family,AOU,Com_Name,YR,Season,MO,DAY,ASEX,AAGE,SITE_MST,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,ST,FLYWAY,Cult_Res,Vir_Res,ELISA_Re,PRNT_Res,PRNT_Ttr,,,,,,,,,,,,,,,,,,
US01-0131,1970-20798,Emberizidae,5630,Field Sparrow,2001,Spring,4,26,U,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0132,2240-86402,Parulidae,6550,Myrtle Yellow-rumped Warbler,2001,Spring,4,26,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0133,1013-12391,Icteridae,5110,Common Grackle,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0134,1013-12392,Icteridae,5110,Common Grackle,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0135,8071-71444,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,26,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0136,8071-71445,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0137,8071-71446,Mimidae,7040,Gray Catbird,2001,Spring,4,26,U,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0138,1820-54673,Parulidae,6810,Common Yellowthroat,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0139,2240-86403,Parulidae,6710,Pine Warbler,2001,Spring,4,26,U,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0140,1013-12393,Icteridae,5110,Common Grackle,2001,Spring,4,27,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0141,0972-93081,Emberizidae,5870,Eastern Towhee,2001,Spring,4,27,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
